household_id,month,days_in_billing_period,household_size,area_type,has_air_conditioning,num_appliances_in_household,monthly_budget_usd,electricity_rate_per_kwh,appliance_name,num_units,power_rating_watts,is_battery_powered,charge_hours_per_cycle,charges_per_month,max_usage_hours_per_day,avg_hours_used_per_day,total_monthly_hours,kwh_per_hour,monthly_kwh_consumption,appliance_monthly_cost_usd,appliance_priority,household_total_kwh,household_total_cost_usd,budget_remaining_usd,budget_exceeded,cost_share_pct,optimal_hours_per_day,optimal_monthly_cost_usd,whatif_add_appliance_new_total_cost,whatif_increase_usage_10pct_new_cost,whatif_budget_increase_20pct
4,1,28,6,rural,1,12,337.63,0.1284,Refrigerator,1,150,0,,,24.0,24.0,672.0,0.15,100.8,12.9427,1,1225.222,157.3184,180.3116,0,8.23,24.0,12.9427,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Phone Charger,1,10,1,1.5,30.0,1.61,1.61,45.0,0.01,0.45,0.0578,2,1225.222,157.3184,180.3116,0,0.04,1.61,0.0579,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,LED Lighting,3,180,0,,,6.8,4.8,403.2,0.18,24.192,3.1063,1,1225.222,157.3184,180.3116,0,1.97,4.8,3.1063,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Water Heater,1,4000,0,,,2.7,1.9,53.2,4.0,212.8,27.3235,1,1225.222,157.3184,180.3116,0,17.37,1.9,27.3235,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Dishwasher,1,1200,0,,,2.8,2.0,56.0,1.2,67.2,8.6285,3,1225.222,157.3184,180.3116,0,5.48,2.0,8.6285,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Electric Stove,1,2000,0,,,7.3,4.2,117.6,2.0,235.2,30.1997,1,1225.222,157.3184,180.3116,0,19.2,4.2,30.1997,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Clothes Dryer,1,5000,0,,,2.5,2.5,70.0,5.0,350.0,44.94,3,1225.222,157.3184,180.3116,0,28.57,2.5,44.94,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Electric Oven,1,2400,0,,,4.6,1.7,47.6,2.4,114.24,14.6684,2,1225.222,157.3184,180.3116,0,9.32,1.7,14.6684,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Television,1,150,0,,,1.3,0.5,14.0,0.15,2.1,0.2696,3,1225.222,157.3184,180.3116,0,0.17,0.5,0.2696,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Coffee Maker,1,800,0,,,5.4,4.6,128.8,0.8,103.04,13.2303,3,1225.222,157.3184,180.3116,0,8.41,4.6,13.2303,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Ceiling Fan,2,150,0,,,5.2,3.0,168.0,0.15,12.6,1.6178,2,1225.222,157.3184,180.3116,0,1.03,3.0,1.6178,173.4968,173.0502,405.16
4,1,28,6,rural,1,12,337.63,0.1284,Laptop,1,65,1,2.0,20.0,1.43,1.43,40.0,0.065,2.6,0.3338,2,1225.222,157.3184,180.3116,0,0.21,1.43,0.3342,173.4968,173.0502,405.16
5,9,30,5,rural,1,6,389.88,0.1297,Refrigerator,1,150,0,,,24.0,24.0,720.0,0.15,108.0,14.0076,1,1028.67,133.4185,256.4615,0,10.5,24.0,14.0076,150.928,146.7604,467.86
5,9,30,5,rural,1,6,389.88,0.1297,Phone Charger,1,10,1,1.5,30.0,1.5,1.5,45.0,0.01,0.45,0.0584,2,1028.67,133.4185,256.4615,0,0.04,1.5,0.0584,150.928,146.7604,467.86
5,9,30,5,rural,1,6,389.88,0.1297,LED Lighting,3,180,0,,,6.0,4.3,387.0,0.18,23.22,3.0116,1,1028.67,133.4185,256.4615,0,2.26,4.3,3.0116,150.928,146.7604,467.86
5,9,30,5,rural,1,6,389.88,0.1297,Electric Stove,1,2000,0,,,2.1,0.6,18.0,2.0,36.0,4.6692,1,1028.67,133.4185,256.4615,0,3.5,0.6,4.6692,150.928,146.7604,467.86
5,9,30,5,rural,1,6,389.88,0.1297,Water Heater,1,4000,0,,,6.1,4.9,147.0,4.0,588.0,76.2636,1,1028.67,133.4185,256.4615,0,57.16,4.9,76.2636,150.928,146.7604,467.86
5,9,30,5,rural,1,6,389.88,0.1297,Vacuum Cleaner,1,1400,0,,,7.8,6.5,195.0,1.4,273.0,35.4081,3,1028.67,133.4185,256.4615,0,26.54,6.5,35.4081,150.928,146.7604,467.86
6,11,30,5,urban,1,9,344.58,0.1302,Refrigerator,1,150,0,,,24.0,24.0,720.0,0.15,108.0,14.0616,1,1519.05,197.7804,146.7996,0,7.11,24.0,14.0616,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Phone Charger,1,10,1,1.5,30.0,1.5,1.5,45.0,0.01,0.45,0.0586,2,1519.05,197.7804,146.7996,0,0.03,1.5,0.0586,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,LED Lighting,1,60,0,,,7.6,6.0,180.0,0.06,10.8,1.4062,1,1519.05,197.7804,146.7996,0,0.71,6.0,1.4062,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Microwave,1,1000,0,,,1.8,1.0,30.0,1.0,30.0,3.906,2,1519.05,197.7804,146.7996,0,1.97,1.0,3.906,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Electric Oven,1,2400,0,,,7.9,6.8,204.0,2.4,489.6,63.7459,2,1519.05,197.7804,146.7996,0,32.23,6.8,63.7459,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Vacuum Cleaner,1,1400,0,,,2.7,1.3,39.0,1.4,54.6,7.1089,3,1519.05,197.7804,146.7996,0,3.59,1.3,7.1089,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Dishwasher,1,1200,0,,,5.0,1.8,54.0,1.2,64.8,8.437,3,1519.05,197.7804,146.7996,0,4.27,1.8,8.437,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Water Heater,1,4000,0,,,6.1,5.3,159.0,4.0,636.0,82.8072,1,1519.05,197.7804,146.7996,0,41.87,5.3,82.8072,215.3574,217.5584,413.5
6,11,30,5,urban,1,9,344.58,0.1302,Coffee Maker,1,800,0,,,7.8,5.2,156.0,0.8,124.8,16.249,3,1519.05,197.7804,146.7996,0,8.22,5.2,16.249,215.3574,217.5584,413.5
7,9,28,2,urban,0,12,142.77,0.1537,Refrigerator,1,150,0,,,24.0,24.0,672.0,0.15,100.8,15.493,1,286.838,44.087,98.683,0,35.14,24.0,15.493,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Phone Charger,1,10,1,1.5,30.0,1.61,1.61,45.0,0.01,0.45,0.0692,2,286.838,44.087,98.683,0,0.16,1.61,0.0693,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,LED Lighting,3,180,0,,,6.7,4.7,394.8,0.18,23.688,3.6408,1,286.838,44.087,98.683,0,8.26,4.7,3.6408,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Laptop,1,65,1,2.0,20.0,1.43,1.43,40.0,0.065,2.6,0.3996,2,286.838,44.087,98.683,0,0.91,1.43,0.4,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Tablet Charger,1,12,1,3.0,15.0,1.61,1.61,45.0,0.012,0.54,0.083,3,286.838,44.087,98.683,0,0.19,1.61,0.0832,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Electric Oven,1,2400,0,,,1.4,0.4,11.2,2.4,26.88,4.1315,2,286.838,44.087,98.683,0,9.37,0.4,4.1315,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Microwave,1,1000,0,,,4.9,3.5,98.0,1.0,98.0,15.0626,2,286.838,44.087,98.683,0,34.17,3.5,15.0626,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Gaming Console,1,150,0,,,1.1,0.9,25.2,0.15,3.78,0.581,3,286.838,44.087,98.683,0,1.32,0.9,0.581,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Desktop Computer,1,200,0,,,1.4,0.5,14.0,0.2,2.8,0.4304,3,286.838,44.087,98.683,0,0.98,0.5,0.4304,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Coffee Maker,1,800,0,,,1.2,0.6,16.8,0.8,13.44,2.0657,3,286.838,44.087,98.683,0,4.69,0.6,2.0657,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Television,1,150,0,,,4.6,2.3,64.4,0.15,9.66,1.4847,3,286.838,44.087,98.683,0,3.37,2.3,1.4847,63.4532,48.4957,171.32
7,9,28,2,urban,0,12,142.77,0.1537,Ceiling Fan,2,150,0,,,2.5,1.0,56.0,0.15,4.2,0.6455,2,286.838,44.087,98.683,0,1.46,1.0,0.6455,63.4532,48.4957,171.32
8,4,30,5,rural,1,7,332.62,0.098,Refrigerator,1,150,0,,,24.0,24.0,720.0,0.15,108.0,10.584,1,459.77,45.0575,287.5625,0,23.49,24.0,10.584,58.2875,49.5633,399.14
8,4,30,5,rural,1,7,332.62,0.098,Phone Charger,1,10,1,1.5,30.0,1.5,1.5,45.0,0.01,0.45,0.0441,2,459.77,45.0575,287.5625,0,0.1,1.5,0.0441,58.2875,49.5633,399.14
8,4,30,5,rural,1,7,332.62,0.098,LED Lighting,2,120,0,,,9.2,5.7,342.0,0.12,20.52,2.011,1,459.77,45.0575,287.5625,0,4.46,5.7,2.011,58.2875,49.5633,399.14
8,4,30,5,rural,1,7,332.62,0.098,Space Heater,1,1500,0,,,5.6,4.2,126.0,1.5,189.0,18.522,2,459.77,45.0575,287.5625,0,41.11,4.2,18.522,58.2875,49.5633,399.14
8,4,30,5,rural,1,7,332.62,0.098,Electric Oven,1,2400,0,,,1.4,1.1,33.0,2.4,79.2,7.7616,2,459.77,45.0575,287.5625,0,17.23,1.1,7.7616,58.2875,49.5633,399.14
8,4,30,5,rural,1,7,332.62,0.098,Laptop,1,65,1,2.0,20.0,1.33,1.33,40.0,0.065,2.6,0.2548,2,459.77,45.0575,287.5625,0,0.57,1.33,0.2542,58.2875,49.5633,399.14
8,4,30,5,rural,1,7,332.62,0.098,Coffee Maker,1,800,0,,,6.6,2.5,75.0,0.8,60.0,5.88,3,459.77,45.0575,287.5625,0,13.05,2.5,5.88,58.2875,49.5633,399.14
9,3,30,2,urban,0,6,114.22,0.129,Refrigerator,1,150,0,,,24.0,24.0,720.0,0.15,108.0,13.932,1,410.31,52.93,61.29,0,26.32,24.0,13.932,70.345,58.223,137.06
9,3,30,2,urban,0,6,114.22,0.129,Phone Charger,1,10,1,1.5,30.0,1.5,1.5,45.0,0.01,0.45,0.0581,2,410.31,52.93,61.29,0,0.11,1.5,0.0581,70.345,58.223,137.06
9,3,30,2,urban,0,6,114.22,0.129,LED Lighting,3,180,0,,,9.0,8.9,801.0,0.18,48.06,6.1997,1,410.31,52.93,61.29,0,11.71,8.9,6.1997,70.345,58.223,137.06
9,3,30,2,urban,0,6,114.22,0.129,Coffee Maker,1,800,0,,,7.5,6.7,201.0,0.8,160.8,20.7432,3,410.31,52.93,61.29,0,39.19,6.7,20.7432,70.345,58.223,137.06
9,3,30,2,urban,0,6,114.22,0.129,Electric Stove,1,2000,0,,,2.2,1.4,42.0,2.0,84.0,10.836,1,410.31,52.93,61.29,0,20.47,1.4,10.836,70.345,58.223,137.06
9,3,30,2,urban,0,6,114.22,0.129,Desktop Computer,1,200,0,,,2.5,1.5,45.0,0.2,9.0,1.161,3,410.31,52.93,61.29,0,2.19,1.5,1.161,70.345,58.223,137.06
10,1,30,1,urban,0,13,142.82,0.1511,Refrigerator,1,150,0,,,24.0,24.0,720.0,0.15,108.0,16.3188,1,1403.655,212.0924,-69.2724,1,7.69,16.16,10.988,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Phone Charger,1,10,1,1.5,30.0,1.5,1.5,45.0,0.01,0.45,0.068,2,1403.655,212.0924,-69.2724,1,0.03,1.5,0.068,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,LED Lighting,2,120,0,,,5.3,3.3,198.0,0.12,11.88,1.7951,1,1403.655,212.0924,-69.2724,1,0.85,2.22,1.2076,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Clothes Dryer,1,5000,0,,,6.2,2.1,63.0,5.0,315.0,47.5965,3,1403.655,212.0924,-69.2724,1,22.44,2.1,47.5965,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Space Heater,1,1500,0,,,3.2,1.1,33.0,1.5,49.5,7.4795,2,1403.655,212.0924,-69.2724,1,3.53,0.99,6.7315,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Electric Oven,1,2400,0,,,4.3,4.1,123.0,2.4,295.2,44.6047,2,1403.655,212.0924,-69.2724,1,21.03,3.68,40.0355,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Coffee Maker,1,800,0,,,4.7,1.6,48.0,0.8,38.4,5.8022,3,1403.655,212.0924,-69.2724,1,2.74,1.6,5.8022,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Vacuum Cleaner,1,1400,0,,,4.6,4.1,123.0,1.4,172.2,26.0194,3,1403.655,212.0924,-69.2724,1,12.27,4.1,26.0194,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Water Heater,1,4000,0,,,1.5,0.5,15.0,4.0,60.0,9.066,1,1403.655,212.0924,-69.2724,1,4.27,0.34,6.1649,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Desktop Computer,1,200,0,,,7.0,4.1,123.0,0.2,24.6,3.7171,3,1403.655,212.0924,-69.2724,1,1.75,4.1,3.7171,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Ceiling Fan,3,225,0,,,2.7,1.9,171.0,0.225,12.825,1.9379,2,1403.655,212.0924,-69.2724,1,0.91,1.71,1.7441,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Dishwasher,1,1200,0,,,5.3,3.1,93.0,1.2,111.6,16.8628,3,1403.655,212.0924,-69.2724,1,7.95,3.1,16.8628,232.4909,233.3016,171.38
10,1,30,1,urban,0,13,142.82,0.1511,Electric Stove,1,2000,0,,,5.1,3.4,102.0,2.0,204.0,30.8244,1,1403.655,212.0924,-69.2724,1,14.53,2.29,20.7611,232.4909,233.3016,171.38
11,4,30,3,urban,0,9,188.53,0.1277,Refrigerator,1,150,0,,,24.0,24.0,720.0,0.15,108.0,13.7916,1,525.315,67.0829,121.4471,0,20.56,24.0,13.7916,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Phone Charger,1,10,1,1.5,30.0,1.5,1.5,45.0,0.01,0.45,0.0575,2,525.315,67.0829,121.4471,0,0.09,1.5,0.0575,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,LED Lighting,3,180,0,,,10.0,10.0,900.0,0.18,54.0,6.8958,1,525.315,67.0829,121.4471,0,10.28,10.0,6.8958,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Coffee Maker,1,800,0,,,1.5,0.7,21.0,0.8,16.8,2.1454,3,525.315,67.0829,121.4471,0,3.2,0.7,2.1454,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Desktop Computer,1,200,0,,,2.9,2.8,84.0,0.2,16.8,2.1454,3,525.315,67.0829,121.4471,0,3.2,2.8,2.1454,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Tablet Charger,1,12,1,3.0,15.0,1.5,1.5,45.0,0.012,0.54,0.069,3,525.315,67.0829,121.4471,0,0.1,1.5,0.069,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Vacuum Cleaner,1,1400,0,,,7.2,6.6,198.0,1.4,277.2,35.3984,3,525.315,67.0829,121.4471,0,52.77,6.6,35.3984,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Washing Machine,1,500,0,,,3.6,1.5,45.0,0.5,22.5,2.8733,2,525.315,67.0829,121.4471,0,4.28,1.5,2.8733,84.3224,73.7912,226.24
11,4,30,3,urban,0,9,188.53,0.1277,Ceiling Fan,3,225,0,,,5.9,4.3,387.0,0.225,29.025,3.7065,2,525.315,67.0829,121.4471,0,5.53,4.3,3.7065,84.3224,73.7912,226.24
12,11,31,6,urban,1,8,154.78,0.1342,Refrigerator,1,150,0,,,24.0,24.0,744.0,0.15,111.6,14.9767,1,1075.53,144.3361,10.4439,0,10.38,24.0,14.9767,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,Phone Charger,1,10,1,1.5,30.0,1.45,1.45,45.0,0.01,0.45,0.0604,2,1075.53,144.3361,10.4439,0,0.04,1.45,0.0603,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,LED Lighting,3,180,0,,,4.9,3.5,325.5,0.18,19.53,2.6209,1,1075.53,144.3361,10.4439,0,1.82,3.5,2.6209,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,Water Heater,1,4000,0,,,2.5,1.4,43.4,4.0,173.6,23.2971,1,1075.53,144.3361,10.4439,0,16.14,1.4,23.2971,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,Electric Stove,1,2000,0,,,5.8,5.2,161.2,2.0,322.4,43.2661,1,1075.53,144.3361,10.4439,0,29.98,5.2,43.2661,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,Coffee Maker,1,800,0,,,4.5,2.1,65.1,0.8,52.08,6.9891,3,1075.53,144.3361,10.4439,0,4.84,2.1,6.9891,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,Washing Machine,1,500,0,,,7.4,2.5,77.5,0.5,38.75,5.2003,2,1075.53,144.3361,10.4439,0,3.6,2.5,5.2003,163.057,158.7697,185.74
12,11,31,6,urban,1,8,154.78,0.1342,Electric Oven,1,2400,0,,,5.4,4.8,148.8,2.4,357.12,47.9255,2,1075.53,144.3361,10.4439,0,33.2,4.8,47.9255,163.057,158.7697,185.74
13,3,31,1,urban,0,12,392.93,0.1212,Refrigerator,1,150,0,,,24.0,24.0,744.0,0.15,111.6,13.5259,1,1244.79,150.8684,242.0616,0,8.97,24.0,13.5259,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Phone Charger,1,10,1,1.5,30.0,1.45,1.45,45.0,0.01,0.45,0.0545,2,1244.79,150.8684,242.0616,0,0.04,1.45,0.0545,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,LED Lighting,2,120,0,,,4.8,3.5,217.0,0.12,13.02,1.578,1,1244.79,150.8684,242.0616,0,1.05,3.5,1.578,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Space Heater,1,1500,0,,,7.3,6.3,195.3,1.5,292.95,35.5055,2,1244.79,150.8684,242.0616,0,23.53,6.3,35.5055,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Washing Machine,1,500,0,,,7.0,6.5,201.5,0.5,100.75,12.2109,2,1244.79,150.8684,242.0616,0,8.09,6.5,12.2109,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Coffee Maker,1,800,0,,,2.5,1.2,37.2,0.8,29.76,3.6069,3,1244.79,150.8684,242.0616,0,2.39,1.2,3.6069,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Electric Oven,1,2400,0,,,1.7,1.4,43.4,2.4,104.16,12.6242,2,1244.79,150.8684,242.0616,0,8.37,1.4,12.6242,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Dishwasher,1,1200,0,,,7.2,4.2,130.2,1.2,156.24,18.9363,3,1244.79,150.8684,242.0616,0,12.55,4.2,18.9363,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Water Heater,1,4000,0,,,5.3,2.2,68.2,4.0,272.8,33.0634,1,1244.79,150.8684,242.0616,0,21.92,2.2,33.0634,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Gaming Console,1,150,0,,,7.5,6.8,210.8,0.15,31.62,3.8323,3,1244.79,150.8684,242.0616,0,2.54,6.8,3.8323,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Television,1,150,0,,,7.8,6.8,210.8,0.15,31.62,3.8323,3,1244.79,150.8684,242.0616,0,2.54,6.8,3.8323,167.7758,165.9552,471.52
13,3,31,1,urban,0,12,392.93,0.1212,Vacuum Cleaner,1,1400,0,,,7.2,2.3,71.3,1.4,99.82,12.0982,3,1244.79,150.8684,242.0616,0,8.02,2.3,12.0982,167.7758,165.9552,471.52
14,7,31,6,rural,1,10,352.42,0.146,Refrigerator,1,150,0,,,24.0,24.0,744.0,0.15,111.6,16.2936,1,782.7,114.2742,238.1458,0,14.26,24.0,16.2936,134.6412,125.7016,422.9
14,7,31,6,rural,1,10,352.42,0.146,Phone Charger,1,10,1,1.5,30.0,1.45,1.45,45.0,0.01,0.45,0.0657,2,782.7,114.2742,238.1458,0,0.06,1.45,0.0656,134.6412,125.7016,422.9
14,7,31,6,rural,1,10,352.42,0.146,LED Lighting,1,60,0,,,8.9,7.0,217.0,0.06,13.02,1.9009,1,782.7,114.2742,238.1458,0,1.66,7.0,1.9009,134.6412,125.7016,422.9
